F_Date,t-7,t-6,t-5,t-4,t-3,t-2,t-1,T
2014-01-01,,,,,,,59.0,60.0
2014-01-02,,,,,,65.0,67.0,61.0
2014-01-03,,,,,60.0,62.0,61.0,57.0
2014-01-04,,,,43.0,44.0,43.0,44.0,47.0
2014-01-05,,,55.0,60.0,64.0,67.0,66.0,60.0
2014-01-06,,71.0,76.0,78.0,80.0,79.0,79.0,76.0
2014-01-07,68.0,74.0,72.0,70.0,70.0,70.0,68.0,67.0
2014-01-08,58.0,56.0,56.0,57.0,59.0,60.0,62.0,62.0
2014-01-09,45.0,48.0,50.0,54.0,54.0,56.0,56.0,54.0
2014-01-10,43.0,43.0,42.0,39.0,38.0,38.0,38.0,46.0
2014-01-11,38.0,37.0,37.0,36.0,37.0,37.0,37.0,35.0
2014-01-12,38.0,36.0,34.0,36.0,36.0,35.0,34.0,32.0
2014-01-13,38.0,38.0,37.0,37.0,37.0,37.0,33.0,31.0
2014-01-14,38.0,37.0,36.0,39.0,40.0,38.0,37.0,34.0
2014-01-15,43.0,44.0,45.0,47.0,47.0,50.0,50.0,45.0
2014-01-16,39.0,39.0,38.0,38.0,39.0,39.0,38.0,41.0
2014-01-17,49.0,50.0,52.0,54.0,56.0,56.0,55.0,52.0
2014-01-18,46.0,46.0,46.0,47.0,45.0,45.0,47.0,48.0
2014-01-19,40.0,42.0,39.0,37.0,37.0,39.0,39.0,36.0
2014-01-20,37.0,37.0,36.0,39.0,45.0,42.0,39.0,35.0
2014-01-21,44.0,48.0,55.0,59.0,63.0,64.0,66.0,62.0
2014-01-22,53.0,56.0,57.0,56.0,55.0,56.0,56.0,59.0
2014-01-23,50.0,55.0,61.0,64.0,67.0,67.0,70.0,65.0
2014-01-24,50.0,49.0,49.0,51.0,50.0,50.0,51.0,50.0
2014-01-25,49.0,42.0,40.0,41.0,43.0,44.0,47.0,40.0
2014-01-26,47.0,49.0,47.0,45.0,41.0,43.0,43.0,39.0
2014-01-27,60.0,59.0,65.0,69.0,72.0,72.0,71.0,67.0
2014-01-28,63.0,62.0,69.0,70.0,72.0,70.0,68.0,65.0
2014-01-29,59.0,60.0,59.0,57.0,55.0,52.0,51.0,52.0
2014-01-30,51.0,50.0,49.0,47.0,45.0,41.0,39.0,45.0
2014-01-31,49.0,52.0,53.0,54.0,56.0,55.0,56.0,56.0
2014-02-01,46.0,47.0,49.0,50.0,51.0,51.0,49.0,52.0
2014-02-02,50.0,50.0,56.0,57.0,59.0,60.0,60.0,60.0
2014-02-03,46.0,51.0,52.0,55.0,55.0,55.0,54.0,59.0
2014-02-04,54.0,52.0,52.0,51.0,51.0,50.0,50.0,57.0
2014-02-05,58.0,60.0,61.0,59.0,58.0,59.0,59.0,59.0
2014-02-06,65.0,67.0,68.0,69.0,68.0,69.0,67.0,68.0
2014-02-07,59.0,62.0,63.0,62.0,61.0,61.0,61.0,64.0
2014-02-08,53.0,54.0,55.0,56.0,55.0,53.0,53.0,58.0
2014-02-09,54.0,56.0,60.0,62.0,61.0,59.0,58.0,61.0
2014-02-10,57.0,61.0,64.0,67.0,67.0,69.0,70.0,70.0
2014-02-11,53.0,57.0,61.0,65.0,66.0,65.0,67.0,68.0
2014-02-12,51.0,51.0,50.0,47.0,48.0,49.0,50.0,59.0
2014-02-13,45.0,43.0,41.0,41.0,40.0,39.0,40.0,40.0
2014-02-14,47.0,46.0,48.0,48.0,45.0,49.0,51.0,52.0
2014-02-15,43.0,43.0,44.0,47.0,49.0,50.0,52.0,53.0
2014-02-16,39.0,39.0,40.0,43.0,44.0,45.0,47.0,49.0
2014-02-17,34.0,33.0,33.0,34.0,36.0,37.0,36.0,37.0
2014-02-18,35.0,34.0,33.0,32.0,32.0,32.0,32.0,31.0
2014-02-19,30.0,28.0,30.0,31.0,33.0,33.0,31.0,31.0
2014-02-20,25.0,25.0,28.0,29.0,30.0,31.0,30.0,33.0
2014-02-21,33.0,34.0,35.0,38.0,39.0,38.0,39.0,40.0
2014-02-22,36.0,41.0,44.0,46.0,45.0,44.0,44.0,43.0
2014-02-23,47.0,47.0,48.0,50.0,50.0,49.0,51.0,48.0
2014-02-24,53.0,53.0,53.0,54.0,51.0,53.0,54.0,51.0
2014-02-25,53.0,53.0,55.0,56.0,56.0,56.0,56.0,58.0
2014-02-26,55.0,54.0,58.0,59.0,60.0,60.0,60.0,57.0
2014-02-27,64.0,62.0,59.0,60.0,63.0,66.0,67.0,63.0
2014-02-28,59.0,57.0,60.0,63.0,61.0,59.0,57.0,52.0
2014-03-01,53.0,58.0,64.0,62.0,60.0,59.0,58.0,56.0
2014-03-02,57.0,59.0,59.0,63.0,63.0,68.0,68.0,68.0
2014-03-03,57.0,57.0,63.0,64.0,68.0,69.0,68.0,65.0
2014-03-04,58.0,62.0,61.0,57.0,57.0,54.0,51.0,56.0
