F_Date,t-7,t-6,t-5,t-4,t-3,t-2,t-1,T
2014-01-01,,,,,,,45.0,51.0
2014-01-02,,,,,,51.0,51.0,51.0
2014-01-03,,,,,60.0,61.0,61.0,57.0
2014-01-04,,,,43.0,43.0,42.0,41.0,48.0
2014-01-05,,,47.0,50.0,53.0,55.0,49.0,44.0
2014-01-06,,60.0,69.0,74.0,79.0,78.0,78.0,75.0
2014-01-07,68.0,73.0,72.0,73.0,71.0,70.0,70.0,68.0
2014-01-08,63.0,59.0,57.0,55.0,55.0,55.0,57.0,62.0
2014-01-09,43.0,42.0,41.0,45.0,47.0,49.0,51.0,50.0
2014-01-10,41.0,38.0,38.0,36.0,35.0,34.0,33.0,39.0
2014-01-11,34.0,35.0,32.0,29.0,29.0,30.0,30.0,30.0
2014-01-12,35.0,34.0,33.0,34.0,33.0,33.0,32.0,29.0
2014-01-13,33.0,34.0,32.0,33.0,31.0,30.0,26.0,27.0
2014-01-14,37.0,36.0,36.0,38.0,37.0,34.0,33.0,34.0
2014-01-15,41.0,43.0,46.0,47.0,47.0,47.0,47.0,45.0
2014-01-16,40.0,40.0,39.0,39.0,39.0,40.0,39.0,39.0
2014-01-17,47.0,48.0,49.0,48.0,50.0,51.0,51.0,50.0
2014-01-18,48.0,47.0,48.0,49.0,49.0,48.0,49.0,49.0
2014-01-19,42.0,43.0,40.0,40.0,41.0,42.0,42.0,41.0
2014-01-20,38.0,36.0,36.0,39.0,43.0,41.0,38.0,37.0
2014-01-21,40.0,43.0,54.0,59.0,58.0,59.0,59.0,57.0
2014-01-22,54.0,58.0,59.0,58.0,56.0,56.0,56.0,57.0
2014-01-23,53.0,56.0,58.0,59.0,62.0,62.0,65.0,63.0
2014-01-24,49.0,51.0,53.0,56.0,56.0,55.0,55.0,52.0
2014-01-25,45.0,42.0,42.0,41.0,42.0,44.0,46.0,45.0
2014-01-26,48.0,49.0,50.0,48.0,48.0,49.0,48.0,42.0
2014-01-27,60.0,57.0,63.0,66.0,68.0,68.0,69.0,63.0
2014-01-28,64.0,63.0,72.0,72.0,74.0,72.0,70.0,66.0
2014-01-29,57.0,63.0,63.0,61.0,58.0,57.0,56.0,56.0
2014-01-30,52.0,51.0,46.0,43.0,42.0,41.0,40.0,45.0
2014-01-31,49.0,52.0,54.0,49.0,48.0,46.0,47.0,44.0
2014-02-01,44.0,44.0,46.0,43.0,43.0,43.0,40.0,41.0
2014-02-02,45.0,48.0,54.0,53.0,56.0,55.0,53.0,49.0
2014-02-03,45.0,49.0,52.0,57.0,57.0,59.0,56.0,59.0
2014-02-04,49.0,49.0,49.0,49.0,50.0,48.0,50.0,55.0
2014-02-05,52.0,49.0,47.0,46.0,46.0,46.0,45.0,47.0
2014-02-06,64.0,65.0,64.0,64.0,62.0,65.0,63.0,63.0
2014-02-07,59.0,60.0,60.0,59.0,60.0,61.0,63.0,63.0
2014-02-08,49.0,49.0,52.0,53.0,54.0,53.0,53.0,57.0
2014-02-09,47.0,49.0,52.0,53.0,52.0,49.0,49.0,51.0
2014-02-10,55.0,59.0,60.0,62.0,61.0,61.0,64.0,64.0
2014-02-11,54.0,55.0,60.0,63.0,65.0,65.0,67.0,65.0
2014-02-12,50.0,51.0,53.0,52.0,53.0,53.0,56.0,58.0
2014-02-13,45.0,41.0,40.0,42.0,41.0,42.0,43.0,46.0
2014-02-14,43.0,42.0,45.0,44.0,41.0,45.0,47.0,50.0
2014-02-15,41.0,43.0,47.0,49.0,52.0,53.0,54.0,54.0
2014-02-16,40.0,40.0,39.0,43.0,43.0,43.0,44.0,49.0
2014-02-17,35.0,34.0,35.0,35.0,37.0,40.0,42.0,40.0
2014-02-18,34.0,33.0,33.0,32.0,33.0,35.0,36.0,33.0
2014-02-19,31.0,27.0,29.0,31.0,34.0,34.0,31.0,32.0
2014-02-20,20.0,22.0,24.0,27.0,27.0,25.0,22.0,25.0
2014-02-21,27.0,29.0,32.0,35.0,34.0,33.0,34.0,32.0
2014-02-22,28.0,33.0,39.0,40.0,38.0,36.0,35.0,35.0
2014-02-23,46.0,44.0,44.0,46.0,44.0,44.0,44.0,42.0
2014-02-24,48.0,48.0,49.0,49.0,48.0,49.0,50.0,46.0
2014-02-25,48.0,49.0,48.0,48.0,47.0,48.0,49.0,47.0
2014-02-26,54.0,51.0,55.0,56.0,59.0,60.0,59.0,55.0
2014-02-27,57.0,56.0,55.0,53.0,57.0,60.0,61.0,57.0
