Product: Daily Heating Degree Days Forecast Based on NDFD Data Issued 0000UTC 20160412
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20160412|20160413|20160414|20160415|20160416|20160417|20160418|Total
AL|2|4|4|4|2|1|1|18
AR|10|10|6|3|1|0|0|30
AZ|2|1|1|2|5|3|2|16
CA|8|8|11|11|6|2|2|48
CO|17|13|10|14|23|25|22|124
CT|12|21|19|19|16|11|10|108
DE|6|18|17|14|12|9|5|81
FL|0|0|0|0|0|0|0|0
GA|2|4|5|5|4|2|0|22
IA|26|15|11|7|4|4|7|74
ID|12|16|21|21|18|15|11|114
IL|26|20|15|11|7|5|5|89
IN|23|20|15|10|8|6|5|87
KS|18|10|5|2|2|3|3|43
KY|16|16|11|7|6|3|2|61
LA|0|1|0|0|0|0|0|1
MA|13|21|20|20|16|11|11|112
MD|9|17|16|14|13|9|4|82
ME|17|23|24|23|19|15|18|139
MI|28|26|21|16|12|10|11|124
MN|31|17|11|8|6|9|15|97
MO|20|14|10|5|3|2|3|57
MS|2|3|1|1|0|0|0|7
MT|14|19|23|27|25|21|16|145
NC|4|12|13|12|10|7|2|60
ND|26|16|8|10|19|21|18|118
NE|18|8|3|3|5|7|9|53
NH|16|23|22|21|17|12|12|123
NJ|9|20|19|16|14|11|8|97
NM|15|10|5|8|16|16|13|83
NV|5|4|7|12|9|4|3|44
NY|16|22|20|18|15|11|10|112
OH|24|23|18|14|11|8|6|104
OK|11|8|3|1|0|0|0|23
OR|14|17|19|16|13|7|6|92
PA|16|21|18|16|13|10|7|101
RI|13|20|20|20|16|12|12|113
SC|1|6|8|8|5|3|0|31
SD|17|8|3|5|11|14|15|73
TN|10|11|7|6|4|3|2|43
TX|3|2|0|0|0|0|0|5
UT|12|13|20|27|24|22|19|137
VA|7|17|15|14|12|8|3|76
VT|20|27|25|22|17|12|13|136
WA|14|16|16|15|12|9|10|92
WI|30|22|17|14|11|8|12|114
WV|17|19|15|14|11|7|5|88
WY|15|13|15|22|27|26|22|140
